timestamp,ch1,ch2,ch3,ch4
1769020311.9210515,0.0,0.0,-0.48828125,0.0,0.0
1769020311.924911,0.0,0.0,-3.41796875,0.0,0.0
1769020311.9287705,-46.875,-35.15625,32.2265625,-32.2265625,0.0
1769020311.9326303,145.01953125,79.1015625,-66.89453125,70.3125,0.0
1769020311.9364898,-520.01953125,-349.609375,324.21875,-396.484375,0.0
1769020311.9403493,-593.75,-1000.0,945.80078125,-1000.0,0.0
1769020311.9442089,844.7265625,-38.57421875,921.875,-992.1875,0.0
1769020311.9480684,999.51171875,673.828125,903.3203125,-986.328125,0.0
1769020311.951928,48.33984375,-689.453125,916.50390625,-1000.0,0.0
1769020311.9557877,-1000.0,-1000.0,904.296875,-1000.0,0.0
1769020311.9596472,-387.6953125,-1000.0,903.3203125,-1000.0,0.0
1769020311.9635067,678.7109375,-452.63671875,904.78515625,-1000.0,0.0
1769020311.9667542,952.63671875,467.28515625,892.578125,-1000.0,0.0
1769020311.9705627,58.59375,-650.87890625,874.0234375,-1000.0,0.0
1769020311.9743712,-1000.0,-1000.0,867.67578125,-1000.0,0.0
1769020311.97818,-222.16796875,-1000.0,856.4453125,-1000.0,0.0
1769020311.9819884,999.51171875,-680.17578125,846.19140625,-1000.0,0.0
1769020311.985797,999.51171875,540.0390625,844.7265625,-1000.0,0.0
1769020311.9896054,22.94921875,-174.31640625,834.47265625,-1000.0,0.0
1769020311.9934142,-1000.0,-1000.0,723.6328125,-1000.0,0.0
1769020311.9972227,-210.9375,-1000.0,658.203125,-1000.0,0.0
1769020312.0010312,967.7734375,-484.86328125,715.33203125,-1000.0,0.0
1769020312.0048397,999.51171875,855.95703125,700.1953125,-1000.0,0.0
1769020312.0086482,332.03125,242.67578125,597.65625,-1000.0,0.0
1769020312.00983,-1000.0,-1000.0,558.10546875,-1000.0,0.0
1769020312.0135293,-504.8828125,-1000.0,562.5,-1000.0,0.0
1769020312.0172284,898.4375,-137.20703125,559.08203125,-1000.0,0.0
1769020312.0209274,999.51171875,999.51171875,568.84765625,-1000.0,0.0
1769020312.0246265,897.94921875,548.33984375,538.0859375,-1000.0,0.0
1769020312.0283256,-389.6484375,-728.515625,474.12109375,-1000.0,0.0
1769020312.0320249,-533.203125,-1000.0,450.68359375,-1000.0,0.0
1769020312.035724,633.30078125,-251.953125,494.62890625,-1000.0,0.0
1769020312.039423,944.82421875,999.51171875,568.84765625,-1000.0,0.0
1769020312.043122,999.51171875,760.7421875,500.9765625,-1000.0,0.0
1769020312.046821,-191.40625,-428.22265625,354.4921875,-1000.0,0.0
1769020312.0505202,-998.046875,-1000.0,393.06640625,-1000.0,0.0
1769020312.0515037,501.46484375,-421.38671875,454.1015625,-1000.0,0.0
1769020312.0551274,999.51171875,896.97265625,452.1484375,-1000.0,0.0
1769020312.058751,722.65625,648.92578125,456.54296875,-1000.0,0.0
1769020312.0623748,-572.265625,-591.30859375,399.90234375,-1000.0,0.0
1769020312.0659986,-1000.0,-1000.0,367.1875,-1000.0,0.0
1769020312.069622,-35.15625,-588.37890625,423.33984375,-1000.0,0.0
1769020312.0732458,999.51171875,676.26953125,513.671875,-1000.0,0.0
1769020312.0768695,238.76953125,719.7265625,475.09765625,-1000.0,0.0
1769020312.0804932,-995.60546875,-552.24609375,356.4453125,-1000.0,0.0
1769020312.0841167,-1000.0,-1000.0,340.8203125,-1000.0,0.0
1769020312.0877404,-191.89453125,-374.0234375,361.81640625,-1000.0,0.0
1769020312.0913641,999.51171875,883.7890625,416.50390625,-1000.0,0.0
1769020312.093932,887.6953125,999.51171875,380.859375,-1000.0,0.0
1769020312.0975337,-372.0703125,202.63671875,334.47265625,-1000.0,0.0
1769020312.1011353,-1000.0,-848.6328125,288.0859375,-1000.0,0.0
1769020312.104737,-164.55078125,-224.609375,283.203125,-1000.0,0.0
1769020312.1083386,983.88671875,937.01171875,403.3203125,-1000.0,0.0
1769020312.1119404,999.51171875,999.51171875,424.31640625,-1000.0,0.0
1769020312.115542,80.56640625,454.1015625,365.234375,-1000.0,0.0
1769020312.1191437,-1000.0,-573.2421875,282.71484375,-1000.0,0.0
1769020312.1227455,-316.89453125,-177.734375,348.6328125,-1000.0,0.0
1769020312.126347,951.66015625,785.15625,433.10546875,-1000.0,0.0
1769020312.1299489,999.51171875,999.51171875,422.36328125,-1000.0,0.0
1769020312.1335504,107.91015625,517.08984375,391.11328125,-1000.0,0.0
1769020312.1345546,-1000.0,-801.7578125,335.44921875,-1000.0,0.0
1769020312.138113,-734.375,-814.94140625,350.09765625,-1000.0,0.0
1769020312.1416714,354.4921875,380.37109375,405.76171875,-1000.0,0.0
1769020312.1452298,999.51171875,999.51171875,441.89453125,-1000.0,0.0
1769020312.1487882,206.54296875,530.76171875,396.484375,-1000.0,0.0
1769020312.1523466,-1000.0,-698.2421875,343.26171875,-1000.0,0.0
1769020312.155905,-377.44140625,-766.11328125,344.23828125,-1000.0,0.0
1769020312.1594634,952.1484375,495.1171875,464.84375,-1000.0,0.0
1769020312.1630218,999.51171875,999.51171875,474.609375,-1000.0,0.0
1769020312.1665802,-174.31640625,481.4453125,336.42578125,-1000.0,0.0
1769020312.1701386,-1000.0,-668.9453125,293.9453125,-1000.0,0.0
1769020312.173697,-398.92578125,-783.203125,303.22265625,-1000.0,0.0
1769020312.1779068,0.0,452.1484375,335.9375,-1000.0,0.0
1769020312.1814742,0.0,999.51171875,394.04296875,-1000.0,0.0
1769020312.1850417,0.0,579.58984375,349.12109375,-1000.0,0.0
1769020312.1886091,0.0,-386.23046875,154.296875,-1000.0,0.0
1769020312.1921766,0.0,-696.77734375,72.75390625,-1000.0,0.0
1769020312.195744,0.0,311.03515625,296.875,-1000.0,0.0
1769020312.1993113,0.0,999.51171875,463.37890625,-1000.0,0.0
1769020312.2028787,0.0,833.0078125,363.28125,-1000.0,0.0
1769020312.2064462,0.0,-145.01953125,270.99609375,-1000.0,0.0
1769020312.2100136,0.0,-830.078125,280.2734375,-1000.0,0.0
1769020312.213581,0.0,125.9765625,345.21484375,-1000.0,0.0
1769020312.2171485,0.0,999.51171875,394.04296875,-1000.0,0.0
1769020312.2160707,876.46484375,999.51171875,387.20703125,-1000.0,0.0
1769020312.2195828,999.51171875,151.3671875,319.3359375,-1000.0,0.0
1769020312.223095,214.84375,-561.5234375,257.8125,-1000.0,0.0
1769020312.226607,-1000.0,437.98828125,352.5390625,-1000.0,0.0
1769020312.2301192,-479.98046875,982.91015625,448.73046875,-1000.0,0.0
1769020312.2336314,878.90625,999.51171875,443.359375,-1000.0,0.0
1769020312.2371435,999.51171875,569.82421875,352.05078125,-1000.0,0.0
1769020312.2406557,777.83203125,-271.97265625,325.68359375,-1000.0,0.0
1769020312.2441678,-634.27734375,494.140625,435.546875,-1000.0,0.0
1769020312.24768,-1000.0,999.51171875,474.12109375,-1000.0,0.0
1769020312.251192,416.9921875,958.0078125,428.7109375,-1000.0,0.0
1769020312.2547042,999.51171875,850.5859375,410.64453125,-1000.0,0.0
1769020312.2542012,999.51171875,110.83984375,393.06640625,-1000.0,0.0
1769020312.2576714,-102.5390625,383.30078125,431.15234375,-1000.0,0.0
1769020312.2611418,-1000.0,999.51171875,533.69140625,-1000.0,0.0
1769020312.264612,358.3984375,911.62109375,547.36328125,-1000.0,0.0
1769020312.2680824,999.51171875,652.83203125,496.09375,-1000.0,0.0
1769020312.2715526,999.51171875,-38.57421875,504.39453125,-1000.0,0.0
1769020312.275023,-51.26953125,179.6875,599.609375,-1000.0,0.0
1769020312.2784932,-1000.0,991.69921875,672.8515625,-1000.0,0.0
1769020312.2819636,-103.02734375,999.51171875,633.30078125,-1000.0,0.0
1769020312.2854338,999.51171875,600.09765625,609.86328125,-1000.0,0.0
1769020312.2889042,285.64453125,-252.9296875,602.5390625,-1000.0,0.0
1769020312.2923744,-913.57421875,84.47265625,607.421875,-1000.0,0.0
1769020312.2977257,-54.6875,889.6484375,662.109375,-1000.0,0.0
1769020312.3012135,267.08984375,999.51171875,709.9609375,-1000.0,0.0
1769020312.3047013,-925.29296875,631.8359375,656.25,-1000.0,0.0
1769020312.308189,-976.5625,-480.95703125,599.12109375,-1000.0,0.0
1769020312.3116767,-1000.0,-413.0859375,642.08984375,-1000.0,0.0
1769020312.3151643,-102.5390625,610.3515625,706.54296875,-1000.0,0.0
1769020312.3186522,254.39453125,999.51171875,698.73046875,-1000.0,0.0
1769020312.32214,-1000.0,770.99609375,631.34765625,-1000.0,0.0
1769020312.3256276,-933.59375,-472.16796875,646.97265625,-1000.0,0.0
1769020312.3291154,-1000.0,-692.87109375,665.0390625,-1000.0,0.0
1769020312.332603,-140.13671875,568.84765625,638.671875,-1000.0,0.0
1769020312.3360908,775.390625,999.51171875,670.41015625,-1000.0,0.0
1769020312.3421307,-768.5546875,672.8515625,640.625,-1000.0,0.0
1769020312.3456397,-1000.0,-457.03125,551.26953125,-1000.0,0.0
1769020312.3491485,-1000.0,-854.98046875,545.8984375,-1000.0,0.0
1769020312.3526576,-554.6875,382.32421875,618.1640625,-1000.0,0.0
1769020312.3561666,999.51171875,999.51171875,633.30078125,-1000.0,0.0
1769020312.3596756,192.87109375,593.75,587.40234375,-1000.0,0.0
1769020312.3631845,-1000.0,-463.8671875,524.4140625,-1000.0,0.0
1769020312.3666935,-1000.0,-936.5234375,547.8515625,-1000.0,0.0
1769020312.3702025,-353.515625,120.1171875,574.21875,-1000.0,0.0
1769020312.3737116,912.109375,999.51171875,542.48046875,-1000.0,0.0
1769020312.3772206,187.5,569.3359375,526.3671875,-1000.0,0.0
1769020312.3807294,-1000.0,-702.63671875,492.1875,-1000.0,0.0
1769020312.3869236,0.0,-1000.0,443.359375,-1000.0,0.0
1769020312.390453,0.0,-191.40625,469.7265625,-1000.0,0.0
1769020312.3939824,0.0,999.51171875,520.99609375,-1000.0,0.0
1769020312.3975117,0.0,850.09765625,454.58984375,-1000.0,0.0
1769020312.401041,0.0,-303.22265625,363.28125,-1000.0,0.0
1769020312.4045703,0.0,-1000.0,375.9765625,-1000.0,0.0
1769020312.4080997,0.0,-387.20703125,415.0390625,-1000.0,0.0
1769020312.411629,0.0,899.4140625,377.44140625,-1000.0,0.0
1769020312.4151583,0.0,999.51171875,363.28125,-1000.0,0.0
1769020312.4186876,0.0,-52.24609375,263.671875,-1000.0,0.0
1769020312.422217,0.0,-1000.0,40.0390625,-1000.0,0.0
1769020312.4257464,0.0,-253.41796875,-23.4375,-1000.0,0.0
1769020312.4327414,965.33203125,879.8828125,213.8671875,-1000.0,0.0
1769020312.4362948,999.51171875,999.51171875,277.34375,-1000.0,0.0
1769020312.4398482,141.11328125,498.53515625,15.13671875,-1000.0,0.0
1769020312.4434016,-1000.0,-673.828125,-189.94140625,-1000.0,0.0
1769020312.446955,-73.2421875,-66.40625,-191.89453125,-1000.0,0.0
1769020312.4505084,999.51171875,999.51171875,30.2734375,-1000.0,0.0
1769020312.4540617,661.62109375,898.92578125,184.5703125,-1000.0,0.0
1769020312.4576151,-350.09765625,462.40234375,20.01953125,-1000.0,0.0
1769020312.4611685,-1000.0,-592.28515625,-138.671875,-1000.0,0.0
1769020312.4647222,-214.35546875,-223.14453125,-205.56640625,-1000.0,0.0
1769020312.4682755,999.51171875,988.76953125,-123.046875,-1000.0,0.0
1769020312.471829,999.51171875,999.51171875,109.375,-1000.0,0.0
1769020312.4781003,0.0,531.25,-28.80859375,-1000.0,0.0
1769020312.481671,0.0,-473.14453125,-301.7578125,-1000.0,0.0
1769020312.485242,0.0,-220.703125,-199.70703125,-1000.0,0.0
1769020312.488813,0.0,845.21484375,85.9375,-1000.0,0.0
1769020312.4923837,0.0,999.51171875,280.76171875,-1000.0,0.0
1769020312.4959545,0.0,620.60546875,223.6328125,-1000.0,0.0
1769020312.4995253,0.0,-239.2578125,174.8046875,-1000.0,0.0
1769020312.503096,0.0,-22.4609375,181.640625,-1000.0,0.0
1769020312.506667,0.0,822.75390625,193.359375,-1000.0,0.0
1769020312.5102377,0.0,999.51171875,364.74609375,-1000.0,0.0
1769020312.5138085,0.0,928.22265625,336.42578125,-1000.0,0.0
1769020312.5173795,0.0,75.68359375,266.6015625,-1000.0,0.0
1769020312.524492,-1000.0,-118.65234375,322.75390625,-1000.0,0.0
1769020312.528084,1.953125,749.51171875,454.1015625,-1000.0,0.0
1769020312.5316758,558.59375,979.00390625,501.46484375,-1000.0,0.0
1769020312.5352678,-878.41796875,964.35546875,470.21484375,-1000.0,0.0
1769020312.5388596,-959.9609375,-58.59375,483.3984375,-1000.0,0.0
1769020312.5424516,-1000.0,-486.81640625,562.98828125,-1000.0,0.0
1769020312.5460434,-408.69140625,684.08203125,645.99609375,-1000.0,0.0
1769020312.5496354,720.21484375,999.51171875,691.40625,-1000.0,0.0
1769020312.5532272,-601.5625,687.5,708.984375,-1000.0,0.0
1769020312.5568192,-1000.0,-340.8203125,687.01171875,-1000.0,0.0
1769020312.560411,-923.828125,-1000.0,693.84765625,-1000.0,0.0
1769020312.564003,-1000.0,-234.86328125,799.31640625,-1000.0,0.0
1769020312.5704746,-1000.0,999.51171875,865.234375,-1000.0,0.0
1769020312.5740826,-1000.0,362.3046875,859.86328125,-1000.0,0.0
1769020312.5776906,-1000.0,-961.42578125,868.1640625,-1000.0,0.0
1769020312.5812984,-1000.0,-1000.0,890.13671875,-1000.0,0.0
1769020312.5849063,-1000.0,-786.1328125,903.80859375,-1000.0,0.0
1769020312.5885143,-1000.0,335.44921875,912.59765625,-1000.0,0.0
1769020312.592122,-1000.0,215.33203125,915.52734375,-1000.0,0.0
1769020312.59573,-1000.0,-915.52734375,919.43359375,-1000.0,0.0
1769020312.599338,-1000.0,-1000.0,917.48046875,-1000.0,0.0
1769020312.6029458,-1000.0,-444.82421875,920.8984375,-1000.0,0.0
1769020312.6065538,-1000.0,849.12109375,929.19921875,-1000.0,0.0
1769020312.6101618,-1000.0,999.51171875,927.734375,-1000.0,0.0
1769020312.6170847,-1000.0,761.23046875,924.8046875,-1000.0,0.0
1769020312.62071,-1000.0,817.87109375,927.734375,-1000.0,0.0
1769020312.624335,-1000.0,994.62890625,932.12890625,-1000.0,0.0
1769020312.6279602,-1000.0,962.40234375,933.59375,-1000.0,0.0
1769020312.6315854,-1000.0,966.796875,933.59375,-1000.0,0.0
1769020312.6352105,-1000.0,968.75,935.05859375,-1000.0,0.0
1769020312.6388357,-1000.0,968.26171875,937.01171875,-1000.0,0.0
1769020312.6424608,-1000.0,968.26171875,937.98828125,-1000.0,0.0
1769020312.6460862,-1000.0,968.26171875,941.89453125,-1000.0,0.0
1769020312.6497114,-1000.0,968.26171875,944.82421875,-1000.0,0.0
1769020312.6533365,-1000.0,968.26171875,941.89453125,-1000.0,0.0
1769020312.6569617,-1000.0,968.26171875,941.89453125,-1000.0,0.0
1769020312.6635072,-1000.0,968.26171875,945.80078125,-1000.0,0.0
1769020312.6671467,-1000.0,968.26171875,945.80078125,-1000.0,0.0
1769020312.6707861,-1000.0,968.26171875,943.359375,-1000.0,0.0
1769020312.6744256,-1000.0,968.26171875,944.3359375,-1000.0,0.0
1769020312.678065,-1000.0,968.26171875,943.84765625,-1000.0,0.0
1769020312.6817045,-1000.0,968.26171875,942.87109375,-1000.0,0.0
1769020312.6853442,-1000.0,968.26171875,941.40625,-1000.0,0.0
1769020312.6889837,-1000.0,968.26171875,940.91796875,-1000.0,0.0
1769020312.6926231,-1000.0,968.26171875,940.4296875,-1000.0,0.0
1769020312.6962626,-1000.0,968.26171875,936.03515625,-1000.0,0.0
1769020312.699902,-1000.0,968.26171875,934.5703125,-1000.0,0.0
1769020312.7035415,-1000.0,968.26171875,933.10546875,-1000.0,0.0
1769020312.7107198,-1000.0,968.26171875,929.6875,-1000.0,0.0
1769020312.7143757,-1000.0,968.26171875,926.7578125,-1000.0,0.0
1769020312.7180316,-1000.0,968.26171875,922.8515625,-1000.0,0.0
1769020312.7216873,-1000.0,968.26171875,918.9453125,-1000.0,0.0
1769020312.7253432,-1000.0,968.26171875,915.52734375,-1000.0,0.0
1769020312.7289991,-1000.0,968.26171875,912.59765625,-1000.0,0.0
1769020312.732655,-1000.0,968.26171875,909.66796875,-1000.0,0.0
1769020312.736311,-1000.0,968.26171875,897.4609375,-1000.0,0.0
1769020312.7399669,-1000.0,968.26171875,879.8828125,-1000.0,0.0
1769020312.7436225,-1000.0,968.26171875,870.60546875,-1000.0,0.0
1769020312.7472785,-1000.0,968.26171875,855.95703125,-1000.0,0.0
1769020312.7509344,-1000.0,968.26171875,831.0546875,-1000.0,0.0
1769020312.758,-1000.0,968.26171875,767.578125,-1000.0,0.0
1769020312.7616706,-1000.0,968.26171875,715.8203125,-1000.0,0.0
1769020312.7653415,-1000.0,968.26171875,679.19921875,-1000.0,0.0
1769020312.7690122,-1000.0,968.26171875,622.0703125,-1000.0,0.0
1769020312.7726831,-1000.0,968.26171875,566.89453125,-1000.0,0.0
1769020312.7763538,-1000.0,969.7265625,482.421875,-1000.0,0.0
1769020312.7800248,-1000.0,956.0546875,389.6484375,-1000.0,0.0
1769020312.7836957,-1000.0,980.46875,290.0390625,-1000.0,0.0
1769020312.7873664,-1000.0,871.09375,194.82421875,-1000.0,0.0
1769020312.7910373,-1000.0,469.23828125,-125.9765625,-1000.0,0.0
1769020312.794708,-1000.0,90.8203125,-553.7109375,-1000.0,0.0
1769020312.798379,-1000.0,-217.28515625,-648.92578125,-1000.0,0.0
1769020312.8051267,0.0,-523.92578125,-665.0390625,-1000.0,0.0
1769020312.8088102,0.0,-833.984375,-705.078125,-1000.0,0.0
1769020312.812494,0.0,-1000.0,-682.12890625,-1000.0,0.0
1769020312.8161776,0.0,-994.140625,-641.6015625,-1000.0,0.0
1769020312.8198612,0.0,-998.046875,-617.67578125,-1000.0,0.0
1769020312.823545,0.0,-1000.0,-526.85546875,-1000.0,0.0
1769020312.8272285,0.0,-1000.0,-486.81640625,-1000.0,0.0
1769020312.830912,0.0,-1000.0,-263.671875,-1000.0,0.0
1769020312.834596,0.0,-1000.0,-13.18359375,-1000.0,0.0
1769020312.8382795,0.0,-1000.0,-56.15234375,-1000.0,0.0
1769020312.841963,0.0,-1000.0,48.828125,-1000.0,0.0
1769020312.8456469,0.0,-1000.0,274.90234375,-1000.0,0.0
1769020312.8513503,-1000.0,-992.1875,350.09765625,-1000.0,0.0
1769020312.855042,-1000.0,-1000.0,356.4453125,-1000.0,0.0
1769020312.8587337,-1000.0,-932.12890625,420.41015625,-1000.0,0.0
1769020312.8624253,-1000.0,-669.43359375,500.9765625,-1000.0,0.0
1769020312.866117,-1000.0,-382.32421875,585.44921875,-1000.0,0.0
1769020312.8698087,-1000.0,-125.9765625,671.875,-1000.0,0.0
1769020312.8735003,-1000.0,166.015625,725.5859375,-1000.0,0.0
1769020312.877192,-1000.0,505.37109375,822.265625,-1000.0,0.0
1769020312.8808837,-1000.0,838.37890625,861.81640625,-1000.0,0.0
1769020312.8845751,-1000.0,978.02734375,864.2578125,-1000.0,0.0
1769020312.8882668,-1000.0,959.47265625,891.11328125,-1000.0,0.0
1769020312.8919585,-1000.0,967.7734375,904.296875,-1000.0,0.0
1769020312.8980346,0.0,968.75,908.203125,-1000.0,0.0
1769020312.901735,0.0,968.26171875,913.57421875,-1000.0,0.0
