win_start,win_end,Delta,Theta,Alpha,Beta,Gamma,Stress_Label
1769022445.1233559,1769022455.0635226,0.0,0.0,0.0,0.0,0.0,L
1769022455.067407,1769022465.0534825,0.0,0.0,0.0,0.0,0.0,L
1769022465.057376,1769022475.0594487,0.0,0.0,0.0,0.0,0.0,L
1769022475.0664797,1769022485.1436703,0.0,0.0,0.0,0.0,0.0,L
1769022485.147579,1769022495.1397345,0.0,0.0,0.0,0.0,0.0,L
1769022495.1436424,1769022497.0011706,0.0,0.0,0.0,0.0,0.0,L
