timestamp,ch1,ch2,ch3,ch4
1769022445.1233559,0.0,0.0,-0.48828125,0.0,0.0
1769022445.1272154,0.0,0.0,-3.90625,0.0,0.0
1769022445.131075,-2.44140625,-1.46484375,25.87890625,-1.46484375,0.0
1769022445.1349347,4.39453125,2.44140625,-72.265625,1.953125,0.0
1769022445.1387942,-21.484375,-14.16015625,272.94921875,-12.20703125,0.0
1769022445.1426537,-62.98828125,-27.83203125,476.5625,-37.109375,0.0
1769022445.1465132,-45.8984375,-13.671875,47.36328125,-34.66796875,0.0
1769022445.1503727,-3.90625,-10.25390625,20.01953125,-14.6484375,0.0
1769022445.1542323,1.46484375,-19.53125,49.31640625,-9.765625,0.0
1769022445.158092,-40.52734375,-20.01953125,33.203125,-32.2265625,0.0
1769022445.1619515,-58.10546875,-19.53125,-4.8828125,-39.55078125,0.0
1769022445.165811,-40.0390625,-24.90234375,-26.85546875,-36.62109375,0.0
1769022445.16877,-0.48828125,-19.53125,-6.8359375,-25.390625,0.0
1769022445.1725547,10.7421875,-24.4140625,-8.30078125,-14.16015625,0.0
1769022445.1763391,-32.71484375,-27.34375,-41.50390625,-23.4375,0.0
1769022445.1801238,-64.453125,-32.71484375,-46.875,-36.62109375,0.0
1769022445.1839082,-51.26953125,-45.8984375,-35.15625,-32.2265625,0.0
1769022445.1876929,-6.34765625,-41.9921875,-49.31640625,-20.01953125,0.0
1769022445.1914773,5.859375,-32.2265625,-76.66015625,-14.16015625,0.0
1769022445.195262,-48.828125,-44.921875,-52.24609375,-35.15625,0.0
1769022445.1990464,-83.0078125,-44.921875,-31.25,-57.12890625,0.0
1769022445.202831,-59.5703125,-20.99609375,-58.10546875,-41.015625,0.0
1769022445.2066154,-16.6015625,-18.06640625,-43.9453125,-22.94921875,0.0
1769022445.2103999,6.34765625,-25.87890625,-35.15625,-16.6015625,0.0
1769022445.210898,0.0,-25.87890625,-64.453125,-29.78515625,0.0
1769022445.2145455,0.0,-22.4609375,-75.68359375,-44.921875,0.0
1769022445.218193,0.0,-23.4375,-61.5234375,-40.0390625,0.0
1769022445.2218406,0.0,-27.34375,-51.26953125,-22.94921875,0.0
1769022445.2254882,0.0,-38.0859375,-63.96484375,-10.7421875,0.0
1769022445.2291358,0.0,-35.64453125,-74.70703125,-27.83203125,0.0
1769022445.2327833,0.0,-22.4609375,-63.4765625,-39.0625,0.0
1769022445.236431,0.0,-35.15625,-59.5703125,-36.62109375,0.0
1769022445.2400784,0.0,-42.48046875,-83.49609375,-20.99609375,0.0
1769022445.243726,0.0,-41.9921875,-57.6171875,-4.39453125,0.0
1769022445.2473736,0.0,-43.45703125,-24.90234375,-20.99609375,0.0
1769022445.2510211,0.0,-29.78515625,-62.98828125,-37.59765625,0.0
1769022445.2509277,-59.5703125,-22.4609375,-65.4296875,-34.66796875,0.0
1769022445.2544713,-22.94921875,-20.99609375,-36.1328125,-19.04296875,0.0
1769022445.258015,12.20703125,-27.34375,-42.48046875,-5.37109375,0.0
1769022445.2615585,-4.39453125,-38.0859375,-58.59375,-14.6484375,0.0
1769022445.2651021,-56.15234375,-40.0390625,-63.4765625,-31.73828125,0.0
1769022445.268646,-58.10546875,-36.62109375,-67.3828125,-36.62109375,0.0
1769022445.2721896,-29.296875,-41.015625,-78.125,-33.69140625,0.0
1769022445.2757332,0.48828125,-36.1328125,-70.3125,-15.625,0.0
1769022445.2792768,-6.34765625,-17.578125,-31.73828125,-21.484375,0.0
1769022445.2828205,-51.26953125,-12.20703125,-36.1328125,-41.50390625,0.0
1769022445.286364,-55.6640625,-17.08984375,-51.26953125,-37.59765625,0.0
1769022445.289908,-21.97265625,-22.94921875,-41.50390625,-26.85546875,0.0
1769022445.2913208,12.6953125,-22.94921875,-28.80859375,-20.01953125,0.0
1769022445.29482,4.8828125,-19.53125,-46.38671875,-23.4375,0.0
1769022445.2983193,-46.38671875,-31.73828125,-58.59375,-33.69140625,0.0
1769022445.3018186,-71.2890625,-41.015625,-41.9921875,-43.45703125,0.0
1769022445.3053179,-44.43359375,-28.80859375,-41.50390625,-37.59765625,0.0
