timestamp,ch1,ch2,ch3,ch4
1769020540.1091566,0.0,0.0,0.0,0.0,0.0
1769020540.1130161,0.0,0.0,-5.859375,0.48828125,0.0
1769020540.1168756,0.0,-32.2265625,34.66796875,-32.2265625,0.0
1769020540.1207354,0.0,70.3125,-65.91796875,69.82421875,0.0
1769020540.124595,0.0,-396.484375,258.30078125,-395.99609375,0.0
1769020540.1284544,0.0,-1000.0,899.4140625,-969.23828125,0.0
1769020540.132314,0.0,-992.1875,898.4375,-1000.0,0.0
1769020540.1361735,0.0,-986.328125,862.3046875,-267.08984375,0.0
1769020540.140033,0.0,-1000.0,883.30078125,999.51171875,0.0
1769020540.1438928,0.0,-1000.0,870.1171875,962.40234375,0.0
1769020540.1477523,0.0,-1000.0,868.1640625,936.03515625,0.0
1769020540.1516118,0.0,-1000.0,866.2109375,976.5625,0.0
1769020540.154454,-1000.0,-1000.0,849.12109375,972.65625,0.0
1769020540.1582289,-997.0703125,-987.3046875,836.9140625,929.6875,0.0
1769020540.1620038,-1000.0,-996.09375,836.9140625,999.51171875,0.0
1769020540.1657784,-1000.0,-1000.0,825.68359375,714.84375,0.0
1769020540.1695533,-902.34375,-394.04296875,804.19921875,-227.5390625,0.0
1769020540.173328,-939.453125,-325.1953125,791.50390625,273.92578125,0.0
1769020540.1771028,-1000.0,-982.421875,801.7578125,999.51171875,0.0
1769020540.1808777,-993.1640625,-1000.0,714.35546875,942.87109375,0.0
1769020540.1846523,-1000.0,-959.47265625,649.90234375,956.0546875,0.0
1769020540.1884272,-1000.0,-288.0859375,691.89453125,968.75,0.0
1769020540.192202,-1000.0,-53.7109375,646.484375,970.21484375,0.0
1769020540.1959767,-958.984375,-782.2265625,570.3125,960.9375,0.0
1769020540.1969092,-1000.0,-1000.0,576.171875,934.5703125,0.0
1769020540.2005656,-969.23828125,-699.70703125,581.0546875,999.51171875,0.0
1769020540.2042217,317.87109375,411.62109375,549.8046875,280.2734375,0.0
1769020540.207878,999.51171875,999.51171875,522.94921875,-539.0625,0.0
1769020540.2115345,94.7265625,559.5703125,528.3203125,370.1171875,0.0
1769020540.215191,-1000.0,-5.859375,524.90234375,999.51171875,0.0
1769020540.2188473,-112.79296875,319.82421875,487.3046875,194.3359375,0.0
1769020540.2225037,999.51171875,888.18359375,474.12109375,-1000.0,0.0
1769020540.22616,999.51171875,999.51171875,515.13671875,-993.65234375,0.0
1769020540.2298162,205.078125,688.96484375,437.01171875,-968.75,0.0
1769020540.2334726,-1000.0,72.265625,324.21875,-1000.0,0.0
1769020540.237129,-312.5,192.3828125,367.1875,-1000.0,0.0
1769020540.2371233,957.03125,770.5078125,377.9296875,-998.046875,0.0
1769020540.2406778,999.51171875,999.51171875,330.56640625,-994.62890625,0.0
1769020540.2442324,211.9140625,699.21875,319.3359375,-1000.0,0.0
1769020540.2477872,-1000.0,-20.01953125,297.8515625,-813.96484375,0.0
1769020540.2513418,-458.49609375,-69.3359375,279.78515625,-809.08203125,0.0
1769020540.2548964,889.6484375,584.47265625,314.453125,-1000.0,0.0
1769020540.258451,999.51171875,999.51171875,356.4453125,-1000.0,0.0
1769020540.2620056,844.23828125,705.078125,332.51953125,-823.2421875,0.0
1769020540.2655604,-588.8671875,77.63671875,241.69921875,63.4765625,0.0
1769020540.269115,-238.76953125,58.59375,135.7421875,-77.1484375,0.0
1769020540.2726696,999.51171875,647.94921875,189.94140625,-957.51953125,0.0
1769020540.2762241,891.6015625,999.51171875,277.83203125,-1000.0,0.0
1769020540.2794194,0.0,712.890625,123.046875,-957.51953125,0.0
1769020540.2829666,0.0,46.875,5.37109375,170.8984375,0.0
1769020540.2865138,0.0,-152.34375,7.8125,999.51171875,0.0
1769020540.2900608,0.0,128.41796875,-64.453125,-262.20703125,0.0
1769020540.293608,0.0,567.3828125,-35.15625,-1000.0,0.0
1769020540.2971551,0.0,276.3671875,57.12890625,55.6640625,0.0
1769020540.3007023,0.0,-444.3359375,6.8359375,999.51171875,0.0
1769020540.3042493,0.0,-631.8359375,-70.3125,922.36328125,0.0
1769020540.3077965,0.0,-64.453125,-20.01953125,999.51171875,0.0
1769020540.3113437,0.0,814.453125,89.84375,578.61328125,0.0
1769020540.3148909,0.0,715.8203125,-17.578125,426.26953125,0.0
1769020540.318438,0.0,-159.66796875,-163.57421875,999.51171875,0.0
1769020540.3194509,-630.37109375,-477.05078125,-206.54296875,967.7734375,0.0
1769020540.3229558,839.84375,-67.3828125,-224.12109375,981.4453125,0.0
1769020540.3264606,999.51171875,724.12109375,-200.1953125,707.51953125,0.0
1769020540.3299656,562.01171875,597.65625,-168.45703125,701.171875,0.0
1769020540.3334703,-719.7265625,-495.1171875,-233.3984375,999.51171875,0.0
1769020540.3369753,-1000.0,-1000.0,-273.4375,962.890625,0.0
1769020540.3404803,-428.22265625,-784.66796875,-255.37109375,962.890625,0.0
