timestamp,ch1,ch2,ch3,ch4
1769021922.0330758,-0.48828125,0.0,0.0,0.0,0.0
1769021922.0369353,0.0,0.0,-0.9765625,0.0,0.0
1769021922.0407948,0.0,-1.46484375,2.9296875,-0.48828125,0.0
1769021922.0446546,-2.9296875,2.9296875,-9.765625,0.0,0.0
1769021922.0485141,7.32421875,-17.08984375,32.2265625,-4.8828125,0.0
1769021922.0523736,-8.30078125,-41.015625,49.31640625,-20.5078125,0.0
1769021922.0562332,-60.05859375,-31.25,-22.94921875,-37.109375,0.0
1769021922.0600927,-59.5703125,-29.78515625,-30.76171875,-35.15625,0.0
1769021922.0639522,-21.484375,-43.45703125,-22.4609375,-20.5078125,0.0
1769021922.067812,8.7890625,-41.015625,-25.87890625,-20.01953125,0.0
1769021922.0716715,-1.953125,-23.4375,-32.2265625,-26.3671875,0.0
1769021922.075531,-43.45703125,-27.83203125,-35.64453125,-36.1328125,0.0
1769021922.078496,-51.26953125,-28.80859375,-31.25,-40.52734375,0.0
1769021922.0822809,-27.83203125,-23.4375,-29.78515625,-22.94921875,0.0
1769021922.086066,18.5546875,-21.97265625,-37.109375,2.9296875,0.0
1769021922.089851,20.01953125,-25.87890625,-36.62109375,-1.46484375,0.0
1769021922.093636,-32.2265625,-33.203125,-29.296875,-28.80859375,0.0
1769021922.097421,-39.55078125,-26.3671875,-31.25,-33.203125,0.0
1769021922.101206,-21.97265625,-30.2734375,-38.0859375,-17.578125,0.0
1769021922.104991,6.8359375,-35.64453125,-35.64453125,-10.25390625,0.0
1769021922.108776,12.20703125,-24.4140625,-32.2265625,-9.27734375,0.0
1769021922.112561,-36.1328125,-13.671875,-37.109375,-21.484375,0.0
1769021922.1163461,-52.734375,-15.13671875,-40.52734375,-38.0859375,0.0
1769021922.120131,-32.71484375,-29.296875,-35.64453125,-31.73828125,0.0
1769021922.12146,-5.37109375,-30.2734375,-32.2265625,-11.23046875,0.0
1769021922.1251426,9.765625,-20.01953125,-33.69140625,-14.6484375,0.0
1769021922.1288252,-33.69140625,-18.5546875,-36.62109375,-41.50390625,0.0
1769021922.132508,-66.89453125,-24.90234375,-33.69140625,-47.8515625,0.0
1769021922.1361907,-46.875,-30.2734375,-35.64453125,-32.71484375,0.0
1769021922.1398733,7.32421875,-25.87890625,-39.55078125,-4.8828125,0.0
1769021922.1435559,24.4140625,-22.94921875,-38.0859375,4.39453125,0.0
1769021922.1472385,-41.9921875,-30.76171875,-36.1328125,-32.2265625,0.0
1769021922.1509213,-79.1015625,-39.55078125,-31.73828125,-40.52734375,0.0
1769021922.154604,-53.22265625,-42.48046875,-26.3671875,-21.484375,0.0
1769021922.1582866,-20.01953125,-42.48046875,-20.99609375,-14.6484375,0.0
1769021922.1619692,-4.8828125,-41.50390625,-19.04296875,-8.30078125,0.0
1769021922.1618323,-48.33984375,-42.96875,-18.5546875,-32.2265625,0.0
1769021922.165409,-94.23828125,-52.24609375,-17.08984375,-50.78125,0.0
1769021922.1689856,-82.03125,-54.6875,-9.27734375,-40.0390625,0.0
1769021922.1725621,-34.66796875,-51.26953125,-3.90625,-25.390625,0.0
1769021922.1761386,-11.23046875,-50.29296875,-4.8828125,-5.859375,0.0
1769021922.1797152,-55.17578125,-51.26953125,-4.39453125,-25.87890625,0.0
1769021922.183292,-91.30859375,-43.9453125,-8.7890625,-50.29296875,0.0
1769021922.1868684,-73.73046875,-43.45703125,-12.20703125,-37.109375,0.0
1769021922.190445,-30.2734375,-45.41015625,-7.32421875,-22.94921875,0.0
1769021922.1940215,-4.8828125,-41.9921875,-6.8359375,-14.16015625,0.0
1769021922.1975982,-41.50390625,-40.0390625,-17.578125,-27.83203125,0.0
1769021922.2011747,-83.49609375,-39.0625,-21.97265625,-45.8984375,0.0
1769021922.2023845,-68.359375,-41.015625,-16.11328125,-43.9453125,0.0
1769021922.2059116,-22.94921875,-41.9921875,-16.11328125,-22.94921875,0.0
1769021922.209439,4.8828125,-44.43359375,-16.6015625,-7.32421875,0.0
1769021922.2129662,-22.94921875,-37.59765625,-15.625,-16.6015625,0.0
1769021922.2164934,-62.01171875,-29.296875,-16.11328125,-36.1328125,0.0
1769021922.2200208,-56.640625,-32.71484375,-17.08984375,-34.1796875,0.0
1769021922.223548,-25.87890625,-43.45703125,-23.92578125,-21.484375,0.0
1769021922.2270753,9.765625,-40.52734375,-21.484375,-10.25390625,0.0
1769021922.2306025,-9.765625,-25.390625,-19.53125,-17.578125,0.0
1769021922.23413,-56.640625,-28.3203125,-23.92578125,-30.2734375,0.0
1769021922.237657,-53.22265625,-25.87890625,-19.53125,-29.78515625,0.0
1769021922.2411842,-29.296875,-30.76171875,-21.97265625,-19.04296875,0.0
1769021922.24236,6.8359375,-33.69140625,-23.92578125,-3.90625,0.0
1769021922.2458482,-1.953125,-33.203125,-24.90234375,-17.08984375,0.0
1769021922.2493362,-57.12890625,-37.59765625,-23.92578125,-39.55078125,0.0
1769021922.2528243,-63.4765625,-36.62109375,-21.484375,-37.59765625,0.0
1769021922.2563124,-27.83203125,-36.1328125,-25.390625,-18.5546875,0.0
1769021922.2598004,12.20703125,-45.8984375,-29.296875,0.48828125,0.0
1769021922.2632885,-0.48828125,-44.921875,-29.78515625,-13.18359375,0.0
1769021922.2667766,-49.31640625,-23.92578125,-27.34375,-32.2265625,0.0
