timestamp,PPG1,PPG2,PPG3,PPG4
1769024825.7728312,1933.0,39213.0,13445.0
1769024825.7884562,1932.0,39218.0,13412.0
1769024825.8040812,1929.0,39200.0,13418.0
1769024825.8197062,1930.0,39264.0,13433.0
1769024825.8353312,1925.0,39269.0,13424.0
1769024825.8509562,1920.0,39237.0,13431.0
1769024825.8665812,1920.0,39244.0,13420.0
1769024825.8822062,1922.0,39242.0,13418.0
1769024825.8978312,1925.0,39227.0,13411.0
1769024825.9134562,1925.0,39233.0,13431.0
1769024825.9290812,1929.0,39236.0,13427.0
1769024825.9447062,1927.0,39195.0,13420.0
1769024825.9603312,1929.0,39254.0,13423.0
1769024825.9759562,1929.0,39254.0,13433.0
1769024825.9915812,1926.0,39234.0,13415.0
1769024826.0072062,1931.0,39264.0,13437.0
1769024826.0228312,1924.0,39242.0,13420.0
1769024826.0384562,1920.0,39260.0,13429.0
1769024826.0540812,1916.0,39252.0,13439.0
1769024826.0697062,1911.0,39250.0,13424.0
1769024826.0853312,1906.0,39268.0,13417.0
1769024826.1009562,1899.0,39261.0,13423.0
1769024826.1165812,1898.0,39269.0,13419.0
1769024826.1322062,1897.0,39278.0,13419.0
1769024826.1478312,1891.0,39245.0,13434.0
1769024826.1634562,1882.0,39310.0,13431.0
1769024826.1790812,1875.0,39290.0,13420.0
1769024826.1947062,1868.0,39257.0,13438.0
1769024826.2103312,1860.0,39267.0,13427.0
1769024826.2259562,1859.0,39289.0,13428.0
1769024826.2415812,1854.0,0.0,13447.0
1769024826.2572062,1853.0,0.0,13437.0
1769024826.2728312,1851.0,0.0,13453.0
1769024826.2884562,1841.0,0.0,13443.0
1769024826.3040812,1833.0,0.0,13435.0
1769024826.3197062,1825.0,0.0,13445.0
1769024826.3353312,1817.0,39295.0,13451.0
1769024826.3509562,1803.0,39311.0,13450.0
1769024826.3665812,1800.0,39320.0,13468.0
1769024826.3822062,1800.0,39298.0,13468.0
1769024826.3978312,1820.0,39310.0,13469.0
1769024826.4134562,1840.0,39317.0,13490.0
1769024826.4290812,1860.0,39385.0,13501.0
1769024826.4447062,1860.0,39380.0,13499.0
1769024826.4603312,1830.0,39420.0,13529.0
1769024826.4759562,1793.0,39441.0,13532.0
1769024826.4915812,1762.0,39449.0,13532.0
1769024826.5072062,1742.0,39488.0,13548.0
1769024826.5228312,1732.0,39496.0,13571.0
1769024826.5384562,1735.0,39530.0,13581.0
1769024826.5540812,1742.0,39516.0,13590.0
1769024826.5697062,1750.0,39527.0,13594.0
1769024826.5853312,1759.0,39566.0,13612.0
1769024826.6009562,1753.0,39551.0,13637.0
1769024826.6165812,1751.0,0.0,13650.0
1769024826.6322062,1748.0,0.0,13682.0
1769024826.6478312,1743.0,0.0,13709.0
1769024826.6634562,1740.0,0.0,13718.0
1769024826.6790812,1740.0,0.0,13765.0
1769024826.6947062,1742.0,0.0,13793.0
1769024826.7103312,1748.0,39859.0,13855.0
1769024826.7259562,1756.0,39947.0,13905.0
1769024826.7415812,1761.0,40059.0,13980.0
1769024826.7572062,1776.0,40165.0,14073.0
1769024826.7728312,1786.0,40359.0,14166.0
1769024826.7884562,1802.0,40492.0,14297.0
1769024826.8040812,1814.0,40696.0,14415.0
1769024826.8197062,1818.0,40894.0,14561.0
1769024826.8353312,1821.0,41105.0,14702.0
1769024826.8509562,1802.0,41286.0,14827.0
1769024826.8665812,1780.0,41513.0,14921.0
1769024826.8822062,1753.0,41644.0,15016.0
1769024826.8978312,1727.0,41723.0,15051.0
1769024826.9134562,1713.0,41732.0,15077.0
1769024826.9290812,1700.0,41737.0,15074.0
1769024826.9447062,1700.0,41723.0,15056.0
1769024826.9603312,1706.0,41695.0,15051.0
1769024826.9759562,1713.0,41689.0,15055.0
1769024826.9915812,1725.0,41722.0,15070.0
1769024827.0072062,1746.0,41715.0,15092.0
1769024827.0228312,1765.0,41834.0,15121.0
1769024827.0384562,1785.0,41893.0,15153.0
1769024827.0540812,1803.0,42051.0,15235.0
1769024827.0697062,1813.0,42195.0,15317.0
1769024827.0853312,1820.0,42413.0,15437.0
1769024827.1009562,1814.0,42648.0,15549.0
1769024827.1165812,1791.0,42867.0,15637.0
1769024827.1322062,1762.0,43075.0,15719.0
1769024827.1478312,1729.0,43321.0,15806.0
1769024827.1634562,1694.0,43548.0,15885.0
1769024827.1790812,1664.0,43943.0,16025.0
1769024827.1947062,1638.0,44473.0,16184.0
1769024827.2103312,1594.0,45155.0,16395.0
1769024827.2259562,1540.0,46030.0,16656.0
1769024827.2415812,1470.0,46987.0,16956.0
1769024827.2572062,1388.0,48094.0,17325.0
1769024827.2728312,0.0,49387.0,17848.0
1769024827.2884562,0.0,50845.0,18526.0
1769024827.3040812,0.0,51986.0,19087.0
1769024827.3197062,0.0,52366.0,19270.0
1769024827.3353312,0.0,51755.0,18983.0
1769024827.3509562,0.0,50693.0,18530.0
1769024827.3665812,1292.0,49649.0,18064.0
1769024827.3822062,1336.0,48731.0,17681.0
1769024827.3978312,1387.0,47866.0,17325.0
1769024827.4134562,1459.0,46893.0,16955.0
1769024827.4290812,1553.0,45885.0,16603.0
1769024827.4447062,1663.0,44894.0,16271.0
1769024827.4603312,1768.0,0.0,15957.0
1769024827.4759562,1846.0,0.0,15645.0
1769024827.4915812,1907.0,0.0,15410.0
1769024827.5072062,1947.0,0.0,15187.0
1769024827.5228312,1988.0,0.0,15038.0
1769024827.5384562,2021.0,0.0,14912.0
1769024827.5540812,2063.0,41512.0,14839.0
1769024827.5697062,2107.0,41394.0,14800.0
