timestamp,ch1,ch2,ch3,ch4
1769020915.992648,-0.48828125,0.0,-0.48828125,-0.48828125,0.0
1769020915.9965074,0.0,0.0,-2.44140625,0.0,0.0
1769020916.000367,-0.48828125,-1.46484375,16.6015625,-0.48828125,0.0
1769020916.0042267,-2.44140625,2.44140625,-49.31640625,-1.953125,0.0
1769020916.0080862,6.34765625,-13.671875,184.5703125,3.90625,0.0
1769020916.0119457,-28.80859375,-33.69140625,273.4375,-37.109375,0.0
1769020916.0158052,-86.42578125,-32.71484375,-39.0625,-93.75,0.0
1769020916.0196648,-75.68359375,-42.96875,-41.015625,-71.77734375,0.0
1769020916.0235243,-40.0390625,-35.15625,-20.5078125,-39.55078125,0.0
1769020916.027384,-22.94921875,-21.484375,-21.97265625,-29.296875,0.0
1769020916.0312436,-41.015625,-15.13671875,-37.109375,-58.59375,0.0
1769020916.035103,-95.703125,-17.08984375,-50.78125,-108.3984375,0.0
1769020916.0380821,-119.140625,-25.87890625,-52.734375,-109.375,0.0
1769020916.0418684,-77.63671875,-20.99609375,-49.31640625,-73.2421875,0.0
1769020916.0456545,-32.2265625,-20.5078125,-54.19921875,-36.1328125,0.0
1769020916.0494409,-60.05859375,-17.578125,-48.828125,-58.59375,0.0
1769020916.053227,-105.95703125,-12.20703125,-45.41015625,-112.79296875,0.0
1769020916.0570133,-96.19140625,-14.6484375,-62.5,-110.3515625,0.0
1769020916.0607994,-58.59375,-13.671875,-74.70703125,-67.3828125,0.0
1769020916.0645857,-18.5546875,-5.37109375,-46.38671875,-37.109375,0.0
1769020916.0683718,-22.94921875,-8.7890625,-35.15625,-44.921875,0.0
1769020916.072158,-67.87109375,-18.5546875,-58.59375,-80.56640625,0.0
1769020916.0759442,-65.4296875,-12.20703125,-48.33984375,-77.63671875,0.0
1769020916.0797303,-30.2734375,-12.20703125,-38.0859375,-38.0859375,0.0
1769020916.0809648,-6.34765625,-22.4609375,-47.36328125,-10.7421875,0.0
1769020916.0846448,-17.578125,-27.34375,-56.15234375,-17.578125,0.0
1769020916.0883245,-64.94140625,-17.578125,-59.5703125,-56.640625,0.0
1769020916.0920045,-70.80078125,-8.7890625,-62.01171875,-64.94140625,0.0
1769020916.0956843,-37.109375,-17.578125,-60.546875,-33.69140625,0.0
1769020916.0993643,0.9765625,-19.04296875,-57.6171875,-6.34765625,0.0
1769020916.103044,-1.46484375,-13.671875,-50.29296875,-5.37109375,0.0
1769020916.106724,-47.8515625,-22.94921875,-57.12890625,-47.36328125,0.0
1769020916.1104038,-62.01171875,-32.2265625,-80.078125,-64.453125,0.0
1769020916.1140838,-40.52734375,-24.4140625,-60.05859375,-38.57421875,0.0
1769020916.1177635,-9.765625,-21.97265625,-34.1796875,-19.04296875,0.0
1769020916.1214435,8.7890625,-23.4375,-48.828125,-11.71875,0.0
1769020916.1212943,-35.64453125,-23.4375,-51.7578125,-50.78125,0.0
1769020916.1248677,-78.61328125,-29.296875,-43.9453125,-75.1953125,0.0
1769020916.1284413,-52.734375,-33.69140625,-56.15234375,-38.0859375,0.0
1769020916.1320148,-9.27734375,-32.2265625,-56.640625,-6.34765625,0.0
1769020916.1355882,7.8125,-26.3671875,-40.0390625,-7.32421875,0.0
1769020916.1391618,-38.0859375,-31.25,-38.57421875,-48.828125,0.0
