timestamp,ch1,ch2,ch3,ch4
1769023333.9182403,-0.48828125,0.0,-0.48828125,-0.48828125,0.0
1769023333.9220998,1.953125,0.0,0.0,1.953125,0.0
1769023333.9259593,21.484375,-1.46484375,26.3671875,10.25390625,0.0
1769023333.929819,-114.2578125,2.44140625,-72.265625,-59.08203125,0.0
1769023333.9336786,489.2578125,-15.13671875,389.6484375,267.08984375,0.0
1769023333.9375381,103.02734375,-31.25,873.046875,70.80078125,0.0
1769023333.9413977,-1000.0,-28.80859375,685.546875,-576.66015625,0.0
1769023333.9452572,-947.265625,-29.296875,686.03515625,-396.484375,0.0
1769023333.9491167,155.2734375,-20.5078125,831.0546875,124.51171875,0.0
1769023333.9529765,999.51171875,-26.85546875,914.55078125,644.53125,0.0
1769023333.956836,114.74609375,-27.34375,803.7109375,141.11328125,0.0
1769023333.9606955,-1000.0,-13.671875,561.03515625,-584.47265625,0.0
1769023333.9636776,0.0,-5.37109375,558.10546875,-455.56640625,0.0
1769023333.967464,0.0,-9.27734375,750.9765625,39.55078125,0.0
1769023333.9712505,0.0,-16.11328125,874.51171875,622.55859375,0.0
1769023333.9750369,0.0,-12.20703125,794.43359375,212.40234375,0.0
1769023333.9788234,0.0,-4.39453125,478.02734375,-580.56640625,0.0
1769023333.9826097,0.0,0.48828125,286.1328125,-500.48828125,0.0
1769023333.9863963,0.0,-10.7421875,418.45703125,-40.0390625,0.0
1769023333.9901826,0.0,-20.99609375,785.15625,567.3828125,0.0
1769023333.9939692,0.0,-12.20703125,829.1015625,298.828125,0.0
1769023333.9977555,0.0,-7.8125,190.91796875,-519.04296875,0.0
1769023334.001542,0.0,0.9765625,-68.84765625,-523.92578125,0.0
1769023334.0053284,0.0,11.71875,441.40625,-100.09765625,0.0
1769023334.0066602,999.51171875,10.25390625,791.015625,528.3203125,0.0
1769023334.0103443,419.921875,6.34765625,737.79296875,376.953125,0.0
1769023334.0140283,-900.390625,5.37109375,167.48046875,-473.14453125,0.0
1769023334.0177126,-1000.0,13.18359375,-321.77734375,-554.6875,0.0
1769023334.0213966,-356.93359375,12.6953125,-1.46484375,-152.34375,0.0
1769023334.025081,999.51171875,5.37109375,632.8125,488.28125,0.0
1769023334.028765,578.61328125,2.9296875,781.73828125,469.7265625,0.0
1769023334.0324492,-769.53125,1.46484375,64.94140625,-379.39453125,0.0
1769023334.0361333,-1000.0,0.48828125,-705.56640625,-546.875,0.0
1769023334.0398176,-465.8203125,0.9765625,-229.98046875,-176.7578125,0.0
1769023334.0435016,892.08984375,-6.34765625,664.55078125,434.5703125,0.0
1769023334.047186,746.58203125,-11.23046875,691.89453125,525.87890625,0.0
1769023334.0469255,-607.421875,-6.34765625,17.578125,-297.8515625,0.0
1769023334.0505002,-1000.0,-1.46484375,-505.859375,-571.2890625,0.0
1769023334.0540748,-568.84765625,-8.7890625,-297.36328125,-224.609375,0.0
1769023334.0576494,747.55859375,-16.6015625,403.3203125,402.34375,0.0
1769023334.061224,894.53125,-11.71875,791.9921875,589.84375,0.0
1769023334.0647986,-434.5703125,-6.34765625,76.66015625,-211.42578125,0.0
1769023334.0683732,-1000.0,-3.41796875,-806.15234375,-571.2890625,0.0
1769023334.0719478,-669.921875,-9.765625,-691.89453125,-255.37109375,0.0
1769023334.0755222,576.66015625,-19.53125,262.20703125,326.66015625,0.0
1769023334.0790968,999.51171875,-23.92578125,777.34375,582.51953125,0.0
1769023334.0826714,-255.37109375,-15.625,87.40234375,-136.23046875,0.0
1769023334.086246,-1000.0,-7.8125,-596.19140625,-558.59375,0.0
1769023334.087432,-744.140625,-9.765625,-435.05859375,-291.50390625,0.0
1769023334.0909567,438.4765625,-14.6484375,181.640625,274.4140625,0.0
1769023334.0944817,999.51171875,-15.13671875,741.2109375,631.8359375,0.0
1769023334.0980065,-86.9140625,-16.6015625,218.75,-42.96875,0.0
1769023334.1015313,-1000.0,-20.5078125,-638.18359375,-561.5234375,0.0
1769023334.105056,-824.21875,-29.78515625,-687.5,-326.66015625,0.0
1769023334.1085808,312.98828125,-34.66796875,5.37109375,199.21875,0.0
1769023334.1121058,999.51171875,-18.06640625,764.16015625,628.90625,0.0
1769023334.1156306,21.484375,-16.6015625,80.56640625,48.33984375,0.0
1769023334.1191554,-1000.0,-21.484375,-773.92578125,-547.36328125,0.0
1769023334.1226802,-914.55078125,-26.3671875,-570.3125,-368.1640625,0.0
1769023334.126205,172.8515625,-30.2734375,-39.0625,130.859375,0.0
1769023334.1274896,999.51171875,-27.34375,689.453125,625.0,0.0
1769023334.1309772,115.234375,-26.85546875,368.1640625,131.34765625,0.0
1769023334.1344645,-1000.0,-25.390625,-437.01171875,-539.55078125,0.0
1769023334.137952,-992.1875,-35.15625,-685.05859375,-392.08984375,0.0
1769023334.1414394,35.64453125,-43.9453125,-148.92578125,75.68359375,0.0
1769023334.144927,999.51171875,-31.73828125,677.734375,609.375,0.0
1769023334.1484144,203.61328125,-19.04296875,374.51171875,208.0078125,0.0
1769023334.151902,-1000.0,-10.25390625,-653.80859375,-515.625,0.0
1769023334.1553895,-1000.0,-10.25390625,-840.8203125,-435.05859375,0.0
1769023334.158877,-99.609375,-22.94921875,-61.5234375,-20.5078125,0.0
1769023334.1623645,999.51171875,-27.34375,629.39453125,563.4765625,0.0
1769023334.1658518,301.7578125,-25.390625,470.21484375,293.9453125,0.0
1769023334.169189,0.0,-36.1328125,-340.33203125,-480.95703125,0.0
1769023334.1726744,0.0,-37.109375,-722.16796875,-463.37890625,0.0
1769023334.1761599,0.0,-25.87890625,-364.2578125,-59.08203125,0.0
1769023334.179645,0.0,-27.34375,500.48828125,533.203125,0.0
1769023334.1831305,0.0,-25.87890625,568.359375,375.0,0.0
1769023334.186616,0.0,-25.390625,-411.1328125,-434.08203125,0.0
1769023334.1901014,0.0,-23.92578125,-841.30859375,-493.1640625,0.0
1769023334.1935868,0.0,-32.2265625,-372.55859375,-108.88671875,0.0
1769023334.197072,0.0,-45.41015625,442.87109375,479.98046875,0.0
1769023334.2005575,0.0,-34.1796875,612.79296875,440.91796875,0.0
1769023334.204043,0.0,-30.2734375,-168.45703125,-367.67578125,0.0
1769023334.2075284,0.0,-28.3203125,-648.92578125,-524.90234375,0.0
1769023334.2108028,-454.58984375,-21.97265625,-463.37890625,-161.62109375,0.0
1769023334.2142856,896.484375,-14.16015625,215.33203125,448.73046875,0.0
1769023334.2177687,741.2109375,-4.8828125,684.5703125,520.99609375,0.0
1769023334.2212515,-626.46484375,-7.8125,-103.515625,-283.203125,0.0
1769023334.2247343,-1000.0,-12.20703125,-801.7578125,-518.5546875,0.0
1769023334.2282171,-497.55859375,-11.23046875,-562.01171875,-186.03515625,0.0
1769023334.2317002,755.37109375,-12.20703125,233.88671875,387.20703125,0.0
1769023334.235183,880.37109375,-16.11328125,664.55078125,546.38671875,0.0
1769023334.2386658,-447.265625,-20.5078125,-182.12890625,-222.16796875,0.0
1769023334.2421489,-1000.0,-32.2265625,-725.5859375,-563.4765625,0.0
1769023334.2456317,-647.4609375,-28.3203125,-464.35546875,-270.99609375,0.0
1769023334.2491145,612.3046875,-20.01953125,167.48046875,326.171875,0.0
1769023334.25226,997.0703125,-39.0625,722.65625,585.9375,0.0
1769023334.2557392,-270.99609375,-36.62109375,91.796875,-158.203125,0.0
1769023334.2592187,-1000.0,-27.34375,-742.67578125,-580.078125,0.0
1769023334.262698,-735.3515625,-26.85546875,-599.609375,-305.6640625,0.0
1769023334.2661774,457.51953125,-26.3671875,182.6171875,277.83203125,0.0
1769023334.2696567,999.51171875,-30.2734375,725.09765625,602.5390625,0.0
1769023334.2731361,-105.46875,-20.5078125,-111.328125,-101.5625,0.0
1769023334.2766156,-1000.0,-20.01953125,-907.71484375,-573.2421875,0.0
1769023334.2800949,-827.63671875,-23.4375,-603.02734375,-333.0078125,0.0
1769023334.2835743,310.05859375,-26.85546875,57.6171875,203.61328125,0.0
1769023334.2870536,999.51171875,-28.3203125,708.0078125,643.06640625,0.0
1769023334.290533,13.671875,-21.484375,253.90625,44.921875,0.0
1769023334.2954087,-1000.0,-23.92578125,-581.0546875,-565.4296875,0.0
1769023334.298901,-918.9453125,-32.71484375,-662.59765625,-382.32421875,0.0
1769023334.3023934,170.8984375,-31.25,-13.18359375,126.46484375,0.0
1769023334.3058856,999.51171875,-30.2734375,752.9296875,632.8125,0.0
1769023334.309378,106.93359375,-26.3671875,266.11328125,127.9296875,0.0
1769023334.3128703,-1000.0,-28.80859375,-665.0390625,-558.59375,0.0
1769023334.3163626,-988.28125,-26.3671875,-691.89453125,-413.0859375,0.0
1769023334.319855,42.48046875,-12.20703125,-28.3203125,65.4296875,0.0
1769023334.323347,999.51171875,-20.99609375,586.42578125,621.09375,0.0
1769023334.3268394,194.82421875,-27.83203125,265.13671875,220.21484375,0.0
1769023334.3303318,-1000.0,-33.69140625,-437.5,-533.69140625,0.0
1769023334.3338242,-1000.0,-31.73828125,-687.01171875,-448.73046875,0.0
1769023334.3385985,-87.40234375,-21.97265625,-279.78515625,-2.9296875,0.0
1769023334.3421013,999.51171875,-26.3671875,577.1484375,584.9609375,0.0
1769023334.3456044,290.52734375,-24.4140625,502.9296875,301.7578125,0.0
1769023334.3491075,-983.3984375,-22.4609375,-453.125,-487.3046875,0.0
1769023334.3526103,-1000.0,-23.92578125,-787.109375,-469.23828125,0.0
1769023334.3561134,-219.7265625,-26.85546875,-398.92578125,-52.734375,0.0
1769023334.3596163,999.51171875,-29.296875,474.12109375,534.66796875,0.0
1769023334.3631194,409.1796875,-20.01953125,340.8203125,387.20703125,0.0
1769023334.3666224,-904.296875,-23.92578125,-574.70703125,-422.8515625,0.0
1769023334.3701253,-1000.0,-33.203125,-639.6484375,-517.578125,0.0
1769023334.3736284,-325.68359375,-23.4375,-379.39453125,-102.5390625,0.0
1769023334.3771312,999.51171875,-19.04296875,349.609375,513.671875,0.0
1769023334.3831873,553.22265625,-26.3671875,639.16015625,428.7109375,0.0
1769023334.3867095,-789.55078125,-32.2265625,-194.82421875,-389.6484375,0.0
1769023334.3902318,-1000.0,-21.484375,-777.34375,-537.109375,0.0
1769023334.3937542,-451.66015625,-18.06640625,-414.55078125,-168.45703125,0.0
1769023334.3972766,909.66796875,-31.25,422.8515625,437.01171875,0.0
1769023334.4007988,720.21484375,-25.390625,527.83203125,500.9765625,0.0
1769023334.4043212,-636.71875,-20.99609375,-389.16015625,-310.05859375,0.0
1769023334.4078436,-1000.0,-39.0625,-687.01171875,-568.359375,0.0
1769023334.4113657,-551.7578125,-33.203125,-466.796875,-221.6796875,0.0
1769023334.4148881,770.5078125,-17.578125,208.984375,397.94921875,0.0
1769023334.4184105,875.9765625,-26.85546875,721.6796875,560.546875,0.0
1769023334.4219327,-457.51953125,-33.203125,22.94921875,-233.88671875,0.0
1769023334.4275565,-1000.0,-31.73828125,-797.36328125,-567.87109375,0.0
1769023334.4310935,-641.6015625,-29.78515625,-640.625,-252.44140625,0.0
1769023334.4346304,621.58203125,-27.34375,207.51953125,341.30859375,0.0
1769023334.438167,996.09375,-27.34375,753.90625,600.5859375,0.0
1769023334.441704,-273.92578125,-29.78515625,-11.23046875,-143.06640625,0.0
1769023334.445241,-1000.0,-30.76171875,-830.078125,-569.3359375,0.0
1769023334.448778,-734.375,-24.4140625,-631.8359375,-292.48046875,0.0
1769023334.4523149,462.890625,-11.71875,75.68359375,281.25,0.0
1769023334.4558518,999.51171875,-6.34765625,713.8671875,640.625,0.0
1769023334.4593887,-113.76953125,-20.01953125,151.3671875,-65.4296875,0.0
1769023334.4629257,-1000.0,-33.69140625,-671.875,-591.30859375,0.0
1769023334.4664626,-826.66015625,-35.15625,-622.55859375,-339.84375,0.0
1769023334.473125,314.94140625,-39.55078125,93.75,205.078125,0.0
1769023334.476682,999.51171875,-45.8984375,812.01171875,635.25390625,0.0
1769023334.480239,7.32421875,-29.78515625,135.25390625,23.92578125,0.0
1769023334.483796,-1000.0,-19.53125,-754.39453125,-572.75390625,0.0
1769023334.4873528,-910.64453125,-29.296875,-628.41796875,-369.62890625,0.0
1769023334.4909098,184.5703125,-25.87890625,-38.57421875,140.625,0.0
1769023334.4944668,999.51171875,-23.4375,568.359375,642.578125,0.0
1769023334.4980237,100.09765625,-18.5546875,228.515625,125.0,0.0
1769023334.5015807,-1000.0,-16.11328125,-469.7265625,-568.84765625,0.0
1769023334.5051377,-985.3515625,-18.5546875,-694.3359375,-413.0859375,0.0
1769023334.5086946,48.828125,-22.94921875,-125.0,70.3125,0.0
1769023334.5122516,999.51171875,-33.69140625,720.703125,616.2109375,0.0
1769023334.5183935,190.4296875,-31.25,408.69140625,212.40234375,0.0
1769023334.5219657,-1000.0,-26.3671875,-508.7890625,-531.25,0.0
1769023334.5255382,-1000.0,-27.83203125,-682.6171875,-454.1015625,0.0
1769023334.5291104,-89.84375,-22.4609375,-154.296875,0.9765625,0.0
1769023334.532683,999.51171875,-26.3671875,591.30859375,553.7109375,0.0
1769023334.5362551,282.71484375,-31.73828125,401.3671875,270.99609375,0.0
1769023334.5398276,-988.28125,-37.109375,-503.41796875,-472.65625,0.0
1769023334.5433998,-1000.0,-30.76171875,-699.21875,-481.93359375,0.0
1769023334.5469723,-221.6796875,-21.484375,-510.7421875,-58.10546875,0.0
1769023334.5505445,999.51171875,-27.34375,198.2421875,535.64453125,0.0
1769023334.554117,403.80859375,-30.2734375,597.65625,362.3046875,0.0
1769023334.5576892,-910.15625,-23.92578125,-334.47265625,-433.10546875,0.0
1769023334.563305,-1000.0,-25.390625,-770.01953125,-500.48828125,0.0
1769023334.5668886,-341.30859375,-26.3671875,-260.25390625,-121.58203125,0.0
1769023334.5704722,999.51171875,-21.484375,482.91015625,474.609375,0.0
1769023334.574056,556.640625,-18.06640625,551.7578125,430.17578125,0.0
1769023334.5776396,-789.55078125,-13.671875,-299.8046875,-372.55859375,0.0
1769023334.5812235,-1000.0,-9.765625,-770.5078125,-519.53125,0.0
1769023334.5848072,-449.21875,-12.6953125,-482.91015625,-164.0625,0.0
1769023334.5883908,906.25,-19.53125,161.62109375,422.36328125,0.0
