timestamp,ch1,ch2,ch3,ch4
1769021443.1202068,0.0,0.0,0.0,0.0,0.0
1769021443.1240664,0.0,0.0,0.0,-0.48828125,0.0
1769021443.1279259,0.0,-1.46484375,0.0,-1.46484375,0.0
1769021443.1317856,0.0,2.44140625,0.0,2.9296875,0.0
1769021443.1356452,0.0,-12.6953125,0.0,-16.11328125,0.0
1769021443.1395047,0.0,-28.80859375,0.0,-22.4609375,0.0
1769021443.1433642,0.0,-14.16015625,0.0,0.48828125,0.0
1769021443.1472237,0.0,-26.3671875,0.0,-15.13671875,0.0
1769021443.1510832,0.0,-38.0859375,0.0,-32.2265625,0.0
1769021443.154943,0.0,-31.73828125,0.0,-25.390625,0.0
1769021443.1588025,0.0,-25.390625,0.0,-3.90625,0.0
1769021443.162662,0.0,-24.4140625,0.0,5.859375,0.0
1769021443.1654453,-8.30078125,-33.203125,-51.7578125,-15.625,0.0
1769021443.1692152,-69.82421875,-34.1796875,-59.08203125,-41.9921875,0.0
1769021443.172985,-57.6171875,-36.62109375,-58.10546875,-40.0390625,0.0
1769021443.176755,-21.97265625,-43.45703125,-51.7578125,-26.3671875,0.0
1769021443.1805248,5.859375,-34.1796875,-50.29296875,-13.18359375,0.0
1769021443.1842947,-4.39453125,-24.90234375,-54.6875,-18.5546875,0.0
1769021443.1880646,-45.41015625,-17.578125,-47.36328125,-30.76171875,0.0
1769021443.1918344,-45.41015625,-15.625,-33.69140625,-27.83203125,0.0
1769021443.1956043,-34.66796875,-35.64453125,-49.31640625,-32.2265625,0.0
1769021443.1993742,5.859375,-23.92578125,-51.7578125,-6.34765625,0.0
1769021443.203144,8.30078125,-16.6015625,-42.96875,-5.37109375,0.0
1769021443.206914,-58.59375,-28.80859375,-49.8046875,-41.015625,0.0
1769021443.2081673,0.0,-34.1796875,-52.24609375,-41.015625,0.0
1769021443.2118323,0.0,-47.36328125,-47.36328125,-28.80859375,0.0
1769021443.2154975,0.0,-41.9921875,-41.9921875,-4.39453125,0.0
1769021443.2191625,0.0,-26.85546875,-40.52734375,-2.44140625,0.0
1769021443.2228274,0.0,-20.99609375,-48.828125,-32.71484375,0.0
1769021443.2264924,0.0,-17.08984375,-48.828125,-37.109375,0.0
1769021443.2301576,0.0,-31.73828125,-46.875,-34.1796875,0.0
1769021443.2338226,0.0,-40.52734375,-51.26953125,-16.11328125,0.0
1769021443.2374876,0.0,-20.5078125,-38.0859375,4.8828125,0.0
1769021443.2411525,0.0,-16.11328125,-25.87890625,-19.53125,0.0
1769021443.2448175,0.0,-22.4609375,-30.76171875,-43.9453125,0.0
1769021443.2484827,0.0,-36.1328125,-38.0859375,-32.71484375,0.0
1769021443.247881,-6.34765625,-42.96875,-42.48046875,-14.16015625,0.0
1769021443.2514274,10.7421875,-29.78515625,-34.66796875,-5.37109375,0.0
1769021443.254974,-32.2265625,-38.57421875,-22.94921875,-36.1328125,0.0
1769021443.2585204,-68.359375,-42.96875,-24.90234375,-59.08203125,0.0
1769021443.262067,-42.96875,-31.73828125,-26.85546875,-45.8984375,0.0
1769021443.2656136,-3.90625,-41.015625,-27.83203125,-24.4140625,0.0
