timestamp,HR,HRV,Stress_Index
1769027750.3262048,0,0,0.0
1769027750.9768422,0,0,0.0
1769027751.1711588,0,0,0.0
1769027752.479048,0,0,0.0
1769027754.0535588,0,0,0.0
1769027755.0666704,0,0,0.0
1769027756.1119223,96.0,0.0,96000000.0
1769027757.1305594,0,0,0.0
1769027758.1388006,42.1978021978022,0.0,42197802.1978022
1769027759.158465,120.0,0.0919975090242484,1304.3689650271522
1769027761.4704928,120.0,0.0919975090242484,1304.3689650271522
1769027762.4899957,120.0,0.0919975090242484,1304.3689650271522
1769027763.5071573,71.44186046511628,0.593994090452243,120.27348645377427
1769027764.732292,71.44186046511628,0.593994090452243,120.27348645377427
1769027766.2970855,71.44186046511628,0.593994090452243,120.27348645377427
1769027767.3512883,68.81720430107528,0.5253718920916878,130.98735267267148
1769027768.3755827,72.22570532915361,0.4883420101084951,147.8995374851526
1769027769.4057956,77.6878612716763,0.4742134835004942,163.82431151872512
1769027771.531396,77.6878612716763,0.4742134835004942,163.82431151872512
1769027772.5686328,77.6878612716763,0.4742134835004942,163.82431151872512
1769027773.7212403,71.29973474801061,0.41704648929668964,170.96310750665526
1769027774.862404,71.29973474801061,0.41704648929668964,170.96310750665526
1769027776.041482,71.29973474801061,0.41704648929668964,170.96310750665526
1769027777.263098,78.36734693877551,0.43569817454925786,179.86572276582478
1769027778.319328,82.75862068965517,0.4071624368725582,203.25651371186
1769027780.1003795,82.33918128654972,0.38838978255374945,212.00086352501117
1769027781.3330731,82.33918128654972,0.38838978255374945,212.00086352501117
1769027782.3948917,76.52173913043478,0.36087373882273677,212.0451527864426
1769027783.526816,85.33333333333333,0.3776449193305185,225.96122178311944
1769027784.9637368,87.69983686786297,0.3702818219015616,236.84554529828463
1769027786.3286262,87.69983686786297,0.3702818219015616,236.84554529828463
1769027787.4562402,90.76363636363637,0.27231980463881195,333.29673979194934
1769027788.56868,88.98395721925134,0.2866630633832758,310.4119720101712
1769027789.9947915,78.63481228668941,0.29972815736258784,262.3528954560915
1769027791.4092574,85.92082616179002,0.3803398171100285,225.9048261363283
1769027792.4702685,83.80952380952381,0.22582100269519764,371.13090314164555
1769027793.530081,95.08571428571427,0.23669036320168246,401.72870272707263
1769027795.2179968,88.51063829787233,0.24171506818233435,366.17606336003223
1769027796.3489552,92.6896551724138,0.24412133214586854,379.6852764663483
1769027797.3910913,86.06896551724138,0.29369747264215695,293.05213862010123
1769027798.5534754,104.18604651162792,0.1399857921453139,744.2562610012318
1769027800.1351664,92.3076923076923,0.30850572320461095,299.2080410723207
1769027801.465007,92.3076923076923,0.30850572320461095,299.2080410723207
1769027802.5680466,83.2,0.3920812353089101,212.20038172463788
1769027803.6099982,79.83367983367984,0.4630091158997305,172.42318707993118
1769027804.7426777,84.81927710843374,0.4206416583036126,201.64211934780198
1769027806.2027822,92.53012048192771,0.41690260247198824,221.94608042070064
1769027807.2528346,93.17157712305026,0.3812801222835999,244.36451656724958
1769027808.310414,83.17689530685921,0.4145699196950645,200.63369463550302
1769027809.7063959,83.17689530685921,0.3489097447516175,238.39018017651236
1769027810.776033,85.33333333333333,0.3411175426222102,250.15741647278392
1769027811.820049,81.26984126984127,0.4262468784251534,190.6633331997024
1769027812.8773518,86.99029126213591,0.32891365378379805,264.4767883139567
1769027814.2038877,82.13903743315508,0.4505189517060899,182.32053235844464
1769027815.5352147,82.13903743315508,0.4505189517060899,182.32053235844464
1769027816.5808136,75.73964497041419,0.48139456026865324,157.3334929141142
1769027817.692402,70.04975124378109,0.41728980177732045,167.86794951009213
1769027818.8088875,83.47826086956522,0.43136509635593684,193.52068133023621
1769027820.1856208,83.47826086956522,0.43136509635593684,193.52068133023621
1769027821.226353,74.36619718309859,0.4236480380268118,175.53727379971562
1769027822.2758296,67.60563380281691,0.4575644592568352,147.75073693853565
1769027823.828843,81.26984126984127,0.33706358019868327,241.1105943612842
1769027825.3527098,81.26984126984127,0.33706358019868327,241.1105943612842
1769027826.421924,78.36734693877551,0.3095564493149836,253.1592992260202
1769027827.4912946,87.57894736842105,0.26043762243100516,336.27480652038196
1769027828.5486226,87.57894736842105,0.26043762243100516,336.27480652038196
1769027829.8288875,87.57894736842105,0.26043762243100516,336.27480652038196
1769027830.8824291,81.3029315960912,0.25712165935039505,316.2029040983715
1769027831.9336097,87.557003257329,0.2683589050381323,326.26708242756195
1769027833.0858164,87.42556917688268,0.2784625179275167,313.9569945375729
1769027834.5583258,81.12676056338027,0.24642077587882524,329.2191214597582
1769027835.676291,80.70052539404553,0.2434408373665829,331.4981774169079
1769027836.7642355,78.51301115241637,0.3174644408895882,247.3119938107611
1769027837.9890501,97.21518987341773,0.19423811642037644,500.492339879793
1769027839.0991015,97.21518987341773,0.19423811642037644,500.492339879793
1769027840.2650933,97.21518987341773,0.19423811642037644,500.492339879793
1769027841.3142476,90.96446700507614,0.2469949535821036,368.2832276636417
1769027842.4100237,93.98601398601399,0.23061395568378437,407.5451815661346
1769027843.5243213,83.89915966386555,0.20603079170400115,407.2146292082952
1769027844.7572224,92.16000000000001,0.20043626463431102,459.7947401055481
1769027845.808953,87.13128038897894,0.2565726603794901,339.5955775823044
1769027846.8659132,90.3529411764706,0.22954471995631143,393.6163183250253
1769027848.0196595,76.8,0.28125,273.06569576641505
1769027849.0696976,90.10830324909747,0.25213470082372136,357.3801843797439
1769027850.142595,90.59891107078039,0.23929440278790748,378.6069854048976
1769027851.2438989,77.96954314720813,0.2692102557181917,289.62215171577395
1769027852.5006654,69.35960591133005,0.40741053243890096,170.2445816791694
