timestamp,ch1,ch2,ch3,ch4
1769019838.4136472,0.0,0.0,0.0,0.0,0.0
1769019838.4175067,0.0,0.0,-3.90625,0.0,0.0
1769019838.4213662,-5.37109375,-3.90625,28.3203125,-4.8828125,0.0
1769019838.425226,11.71875,7.8125,-66.40625,10.7421875,0.0
1769019838.4290855,-55.6640625,-39.55078125,296.875,-50.78125,0.0
1769019838.432945,-144.53125,-113.28125,787.109375,-120.60546875,0.0
1769019838.4368045,-91.30859375,-88.8671875,741.2109375,-75.1953125,0.0
1769019838.440664,19.04296875,-79.1015625,750.48828125,4.39453125,0.0
1769019838.4445236,45.8984375,-88.8671875,781.25,26.85546875,0.0
1769019838.4483833,-50.29296875,-72.265625,827.63671875,-50.78125,0.0
1769019838.4522429,-99.12109375,-63.4765625,823.73046875,-82.03125,0.0
1769019838.4561024,-61.03515625,-60.05859375,734.86328125,-38.57421875,0.0
1769019838.4589374,5.37109375,-59.5703125,0.0,0.0,0.0
1769019838.4627116,30.76171875,-57.12890625,0.0,0.0,0.0
1769019838.4664857,-13.671875,-55.6640625,0.0,0.0,0.0
1769019838.47026,-69.3359375,-65.91796875,0.0,0.0,0.0
1769019838.4740343,-72.75390625,-71.77734375,0.0,0.0,0.0
1769019838.4778085,-24.4140625,-77.1484375,0.0,0.0,0.0
1769019838.4815826,24.90234375,-73.2421875,0.0,0.0,0.0
1769019838.4853568,-0.9765625,-83.0078125,0.0,0.0,0.0
1769019838.489131,-85.44921875,-69.82421875,0.0,0.0,0.0
1769019838.4929051,-110.3515625,-41.50390625,0.0,0.0,0.0
1769019838.4966793,-22.4609375,-36.1328125,0.0,0.0,0.0
1769019838.5004535,47.8515625,-32.2265625,0.0,0.0,0.0
1769019838.5012984,-0.48828125,-44.43359375,459.9609375,-13.671875,0.0
1769019838.5049505,-90.8203125,-55.6640625,406.73828125,-72.75390625,0.0
1769019838.5086026,-92.7734375,-54.19921875,307.12890625,-61.5234375,0.0
1769019838.5122547,-39.55078125,-51.7578125,307.6171875,-24.4140625,0.0
1769019838.515907,11.23046875,-50.78125,393.5546875,17.578125,0.0
1769019838.5195591,7.32421875,-52.734375,311.5234375,29.296875,0.0
1769019838.5232112,-67.3828125,-54.6875,171.38671875,-25.87890625,0.0
1769019838.5268633,-79.58984375,-58.59375,-162.109375,-29.296875,0.0
1769019838.5305154,-56.15234375,-41.50390625,14.16015625,-26.85546875,0.0
1769019838.5341675,10.25390625,-30.76171875,382.32421875,1.953125,0.0
1769019838.5378199,31.25,-38.0859375,185.546875,26.85546875,0.0
1769019838.541472,-64.453125,-49.31640625,87.40234375,-34.1796875,0.0
1769019838.5412173,0.0,-55.6640625,0.0,-65.4296875,0.0
1769019838.544761,0.0,-58.10546875,0.0,-36.62109375,0.0
1769019838.5483046,0.0,-65.4296875,0.0,20.01953125,0.0
1769019838.5518482,0.0,-64.453125,0.0,24.4140625,0.0
1769019838.5553918,0.0,-61.5234375,0.0,-34.1796875,0.0
1769019838.5589354,0.0,-63.96484375,0.0,-49.8046875,0.0
1769019838.562479,0.0,-75.68359375,0.0,0.48828125,0.0
1769019838.5660226,0.0,-64.94140625,0.0,32.71484375,0.0
1769019838.5695662,0.0,-48.828125,0.0,5.859375,0.0
1769019838.5731099,0.0,-59.5703125,0.0,-36.62109375,0.0
1769019838.5766535,0.0,-69.3359375,0.0,-72.265625,0.0
1769019838.580197,0.0,-66.40625,0.0,-59.5703125,0.0
1769019838.5798187,-10.25390625,-55.17578125,-187.5,-11.23046875,0.0
1769019838.5832806,40.52734375,-52.734375,-212.40234375,25.87890625,0.0
1769019838.5867424,-32.2265625,-65.91796875,-318.84765625,-17.08984375,0.0
1769019838.5902045,-113.28125,-72.265625,-338.8671875,-82.03125,0.0
1769019838.5936663,-88.37890625,-71.2890625,-361.81640625,-72.75390625,0.0
1769019838.5971282,-4.8828125,-81.0546875,-423.828125,-15.13671875,0.0
1769019838.60059,44.921875,-84.47265625,-470.21484375,26.85546875,0.0
